ID	Cancer_type_mapped	Drug_curated	Association	Evidence_mapped
FGFR2--AHCYL1	Solid tumor	AZD4547(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	BGJ398(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Debio1347(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Erdafitinib(24122810)	Responsive	Pre_clinical
AKT3--.	Invasive Breast Carcinoma	ATP competitive AKT inhibitors(22722202)	Responsive	Pre_clinical
AKT3--.	Invasive Breast Carcinoma	ATP competitive AKT inhibitors(22722202)	Responsive	Pre_clinical
ALK--.	Non-Small Cell Lung Cancer	Alectinib	Responsive	Approved
ALK--.	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
ALK--.	Non-Small Cell Lung Cancer	Ceritinib	Responsive	Approved
ALK--.	Non-Small Cell Lung Cancer	Crizotinib	Responsive	Approved
ALK--.	Lung Adenocarcinoma	Alectinib	Responsive	Approved
ALK--.	Lung Adenocarcinoma	Ceritinib	Responsive	Approved
ALK--.	Lung Adenocarcinoma	Crizotinib	Responsive	Approved
ALK--.	Inflammatory Myofibroblastic Tumor	Ceritinib	Responsive	Approved
ALK--.	Inflammatory Myofibroblastic Tumor	Crizotinib	Responsive	Approved
ALK--.	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
ALK--.	Hematologic cancer	Ceritinib(NCT02186821)	Responsive	Clinical_trial
ALK--.	Glioblastoma	Crizotinib(24491302;NCT02270034)	Responsive	Clinical_trial
ALK--.	Lymphoid Neoplasm	Crizotinib(24491302;NCT02270034)	Responsive	Clinical_trial
ALK--.	Lung Adenocarcinoma	HSP90 inhibitors(23553849)	Responsive	Clinical_trial
ALK--.	Non-Small Cell Lung Cancer	Lorlatinib(26951079)	Responsive	Clinical_trial
ALK--.	Lung Adenocarcinoma	novel ALK inhibitors(23639470)	Responsive	Clinical_trial
ALK--.	Lung Adenocarcinoma	ALK inhibitor + IGF1R inhibitors(25173427)	Responsive	Pre_clinical
ALK--.	Lung Adenocarcinoma	ALK inhibitor + MEK inhibitors(26301689)	Responsive	Pre_clinical
ALK--.	Lung Adenocarcinoma	ALK inhibitor + SRC inhibitors(25394791)	Responsive	Pre_clinical
ALK--.	Colorectal Adenocarcinoma	ALK inhibitors(26633560)	Responsive	Pre_clinical
ALK--.	Colorectal Adenocarcinoma	Ceritinib(26633560;26933125;27742657)	Responsive	Pre_clinical
ALK--.	Inflammatory Myofibroblastic Tumor	Ceritinib(26633560;26933125;27742657)	Responsive	Pre_clinical
ALK--.	Inflammatory Myofibroblastic Tumor	Crizotinib(20979472;24687827)	Responsive	Pre_clinical
ALK--.	Thyroid Cancer	Crizotinib(20979472;24687827)	Responsive	Pre_clinical
ALK--.	Colorectal Adenocarcinoma	Entrictinib(26633560;26933125)	Responsive	Pre_clinical
CAD--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
CAD--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
EML4--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
EML4--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
KIF5B--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
KIF5B--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
NPM--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
NPM--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
RANBP1--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
