Any cancer	Any cancer
Any cancer/Liquid tumor/Blood Cancer	Blood Cancer
Any cancer/Liquid tumor/Blood Cancer/Myeloid Atypical	Myeloid Atypical
Any cancer/Liquid tumor/Blood Cancer/Myeloid Benign	Myeloid Benign
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage	Acute Leukemias of Ambiguous Lineage
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Acute Undifferentiated Leukemia	Acute Undifferentiated Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Mixed Phenotype Acute Leukemia, B	Mixed Phenotype Acute Leukemia, B
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Mixed Phenotype Acute Leukemia, B/Myeloid, NOS	Myeloid, NOS
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Mixed Phenotype Acute Leukemia, T	Mixed Phenotype Acute Leukemia, T
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Mixed Phenotype Acute Leukemia, T/Myeloid, NOS	Myeloid, NOS
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1	Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Leukemias of Ambiguous Lineage/Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged	Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia	Acute Myeloid Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Acute Basophilic Leukemia	Acute Basophilic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Acute Megakaryoblastic Leukemia	Acute Megakaryoblastic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Acute Monoblastic	Acute Monoblastic
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Acute Monoblastic/Monocytic Leukemia	Monocytic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Acute Myelomonocytic Leukemia	Acute Myelomonocytic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Acute Panmyelosis with Myelofibrosis	Acute Panmyelosis with Myelofibrosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS	AML, NOS
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/AML with Maturation	AML with Maturation
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/AML with Minimal Differentiation	AML with Minimal Differentiation
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/AML without Maturation	AML without Maturation
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML, NOS/Pure Erythroid Leukemia	Pure Erythroid Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Myelodysplasia-Related Changes	AML with Myelodysplasia-Related Changes
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1	AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with BCR-ABL1	AML with BCR-ABL1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with Biallelic Mutations of CEBPA	AML with Biallelic Mutations of CEBPA
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with Mutated NPM1	AML with Mutated NPM1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with Mutated RUNX1	AML with Mutated RUNX1
